,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE
3823,ANNA NAGAR,1665,1,1,4,Yes,19316,House,NoSeWa,Gravel,RH,12639580
3824,KARAPAKKAM,1391,2,2,4,Yes,14161,House,NoSeWa,Paved,C,6642000
3825,ANNA NAGAR,1797,1,1,4,Yes,18958,House,NoSeWa,Gravel,RL,13049510
3826,T NAGAR,1514,1,1,4,No,13205,Commercial,AllPub,No Access,RL,16835310
3827,ADYAR,786,1,1,2,Yes,8923,Others,AllPub,Gravel,RM,10371250
3828,VELACHERY,1991,3,2,5,Yes,17818,Commercial,ELO,No Access,A,13805110
3829,VELACHERY,1814,3,2,5,No,6431,Commercial,AllPub,Gravel,A,13975040
3830,KARAPAKKAM,504,1,1,2,No,14523,Others,NoSeWa,Gravel,A,3454000
3831,ADYAR,1215,2,2,4,Yes,8218,Commercial,NoSeWa,Gravel,RM,16693265
3832,T NAGAR,1934,2,1,5,No,13429,House,NoSeWa,Gravel,RM,14154820
3833,KK NAGAR,1691,2,1,4,Yes,14935,Commercial,NoSeWa,Paved,RL,14691200
3834,CHROMPET,1294,2,1,4,Yes,8537,Commercial,NoSeWa,Paved,RM,15704500
3835,KK NAGAR,2268,4,2,6,No,9388,Others,NoSeWa,Gravel,RH,11645200
3836,KARAPAKKAM,615,1,1,2,No,10797,Commercial,AllPub,Paved,RL,7284250
3837,KARAPAKKAM,1640,2,2,4,Yes,10617,Others,AllPub,Gravel,RH,10169750
3838,CHROMPET,832,1,1,3,No,7570,Others,ELO,Gravel,RM,9252340
3839,ANNA NAGAR,1919,2,1,5,No,19112,House,ELO,No Access,RM,12308240
3840,VELACHERY,1788,2,1,4,No,12038,Others,ELO,Gravel,I,9689440
3841,T NAGAR,1674,1,1,4,Yes,20205,Others,ELO,Gravel,RH,13280420
3842,CHROMPET,723,1,1,2,No,19480,Others,NoSeWa,Paved,RM,7603010
3843,ADYAR,990,1,1,3,No,14235,Commercial,NoSeWa,Gravel,A,10631860
3844,KK NAGAR,2219,3,2,5,No,12713,Commercial,NoSeWa,Gravel,RL,17449820
3845,ADYAR,1167,1,1,3,No,18003,House,AllPub,Paved,I,7904525
3846,T NAGAR,1566,1,1,4,No,14304,Commercial,NoSeWa,No Access,RL,17187060
3847,CHROMPET,1053,1,1,3,Yes,4580,Others,NoSeWa,No Access,RM,10137210
3848,VELACHERY,1781,2,1,4,No,26629,Commercial,AllPub,Gravel,C,13206150
3849,KK NAGAR,2470,4,2,6,No,15701,Others,NoSeWa,Gravel,RH,12792980
3850,VELACHERY,1612,2,1,4,No,9228,Others,ELO,Gravel,C,8690980
3851,KK NAGAR,1418,2,1,4,Yes,10539,House,NoSeWa,Paved,RH,8878740
3852,CHROMPET,1032,1,1,3,Yes,15878,House,AllPub,Gravel,RL,9629850
3853,KARAPAKKAM,1430,2,2,4,Yes,16192,Commercial,AllPub,Paved,RM,12919750
3854,CHROMPET,812,1,1,3,Yes,7473,Commercial,ELO,Gravel,RM,12347950
3855,KARAPAKKAM,571,1,1,2,Yes,9816,House,AllPub,Paved,A,4627500
3856,VELACHERY,1709,2,1,4,Yes,14850,Commercial,AllPub,Paved,C,13822920
3857,CHROMPET,1128,1,1,3,No,16661,Commercial,AllPub,No Access,RL,12072650
3858,KK NAGAR,1731,2,1,4,No,7145,Others,AllPub,Gravel,RL,11270960
3859,VELACHERY,1620,2,1,4,Yes,9124,Commercial,AllPub,No Access,RH,13957610
3860,VELACHERY,1581,2,1,4,Yes,8210,Commercial,AllPub,No Access,I,13356200
3861,ANNA NAGAR,1672,1,1,4,Yes,9107,Others,NoSeWa,Paved,RM,14477850
3862,CHROMPET,1266,2,1,4,Yes,13664,House,ELO,Paved,RH,9077550
3863,CHROMPET,1298,2,1,4,Yes,12143,Others,NoSeWa,Gravel,RM,11998010
3864,T NAGAR,1952,2,1,5,Yes,22116,House,ELO,Paved,RM,13942350
3865,KK NAGAR,2386,4,2,6,Yes,12681,Others,NoSeWa,Paved,RL,12941380
3866,CHROMPET,1058,1,1,3,Yes,13435,House,NoSeWa,Paved,RH,8598500
3867,ADYAR,987,1,1,3,Yes,10194,House,ELO,Paved,RH,9200725
3868,KARAPAKKAM,1256,1,1,3,No,8415,Commercial,NoSeWa,No Access,RH,9393000
3869,KK NAGAR,1824,3,2,5,No,6673,Commercial,NoSeWa,Paved,RL,15122540
3870,VELACHERY,1752,2,1,4,No,12852,Others,AllPub,No Access,I,8535580
3871,ADYAR,796,1,1,2,Yes,8441,Commercial,ELO,No Access,C,9737150
3872,CHROMPET,1031,1,1,3,No,18318,Others,ELO,Paved,RM,9241670
3873,CHROMPET,1114,1,1,3,Yes,5826,House,NoSeWa,Paved,RL,9688300
3874,ANNA NAGAR,1567,1,1,4,No,20977,Others,NoSeWa,No Access,RL,11630020
3875,ADYAR,1282,2,2,4,Yes,15477,Others,ELO,Gravel,A,9301605
3876,CHROMPET,957,1,1,3,Yes,11451,Others,NoSeWa,No Access,RH,8292190
3877,T NAGAR,1510,1,1,4,No,15297,Commercial,AllPub,Paved,RH,16300260
3878,KARAPAKKAM,1005,1,1,3,Yes,7735,Others,NoSeWa,Paved,RH,7525375
3879,VELACHERY,1824,3,2,5,No,17915,House,AllPub,No Access,A,6911070
3880,CHROMPET,837,1,1,3,Yes,12396,Commercial,NoSeWa,No Access,RH,10563700
3881,ADYAR,1103,1,1,3,No,8592,House,NoSeWa,Paved,I,7693965
3882,KARAPAKKAM,1386,2,2,4,No,6274,Others,NoSeWa,Paved,RL,8418500
3883,VELACHERY,1588,2,1,4,Yes,22383,Commercial,AllPub,No Access,A,11516250
3884,CHROMPET,792,1,1,2,No,15844,Commercial,NoSeWa,Paved,RM,10567050
3885,CHROMPET,1241,2,1,4,Yes,18034,House,NoSeWa,No Access,RL,8939050
3886,KK NAGAR,1571,2,1,4,Yes,8923,Others,NoSeWa,Paved,RM,11648840
3887,CHROMPET,770,1,1,2,No,16507,Commercial,NoSeWa,No Access,RL,8883750
3888,ANNA NAGAR,1707,1,1,4,No,18927,Commercial,NoSeWa,No Access,RH,17363590
3889,T NAGAR,1840,2,1,5,Yes,18482,House,NoSeWa,Gravel,RM,14477820
3890,KARAPAKKAM,972,1,1,3,No,20051,Others,ELO,Gravel,RH,6399750
3891,ADYAR,1000,1,1,3,No,11043,Others,ELO,No Access,RL,8348770
3892,T NAGAR,1888,2,1,5,Yes,19606,House,NoSeWa,Gravel,RL,13764960
3893,KARAPAKKAM,557,1,1,2,Yes,18125,Others,AllPub,No Access,A,3210125
3894,CHROMPET,1180,1,1,3,No,15530,Others,NoSeWa,Gravel,RH,8889850
3895,CHROMPET,1219,2,1,4,Yes,6728,Others,ELO,No Access,RL,9951030
3896,KARAPAKKAM,943,1,1,3,Yes,14473,Commercial,AllPub,Paved,I,8776500
3897,CHROMPET,1133,1,1,3,Yes,9925,House,NoSeWa,Gravel,RH,9468000
3898,ADYAR,1153,1,1,3,Yes,12499,House,NoSeWa,Gravel,A,8350260
3899,VELACHERY,1618,2,1,4,Yes,17143,Commercial,AllPub,Gravel,RM,16354300
3900,KARAPAKKAM,1246,1,1,3,Yes,17616,Commercial,NoSeWa,No Access,A,7957500
3901,KK NAGAR,2389,4,2,6,No,14809,Commercial,NoSeWa,Paved,RM,18402940
3902,KK NAGAR,2227,4,2,6,No,7313,House,NoSeWa,Paved,RM,11820720
3903,ANNA NAGAR,1853,2,1,5,Yes,14186,House,NoSeWa,Gravel,RL,13761350
3904,CHROMPET,926,1,1,3,No,13404,Commercial,ELO,Gravel,RM,11939850
3905,T NAGAR,1517,1,1,4,No,13351,Others,NoSeWa,No Access,RL,11712660
3906,KK NAGAR,1721,2,1,4,No,12933,House,AllPub,Paved,RH,9225240
3907,KARAPAKKAM,1231,1,1,3,No,10735,House,AllPub,Gravel,A,5711000
3908,KARAPAKKAM,1090,1,1,3,Yes,22456,House,AllPub,No Access,A,4876500
3909,VELACHERY,1590,2,1,4,Yes,8850,Commercial,NoSeWa,No Access,RH,13925230
3910,KARAPAKKAM,1353,2,2,4,Yes,16473,Others,ELO,Paved,I,7507375
3911,ANNA NAGAR,1610,1,1,4,Yes,15978,Others,ELO,Gravel,RL,13545830
3912,T NAGAR,1883,2,1,5,Yes,15180,Others,NoSeWa,Paved,RL,14866620
3913,CHROMPET,1029,1,1,3,Yes,15844,Commercial,ELO,Gravel,RL,13376150
3914,CHROMPET,1285,2,1,4,Yes,16341,House,AllPub,Gravel,RM,11819950
3915,ADYAR,1210,2,2,4,Yes,17397,Commercial,NoSeWa,No Access,C,12495925
3916,KARAPAKKAM,774,1,1,2,No,18548,House,NoSeWa,Gravel,A,4182250
3917,CHROMPET,940,1,1,3,No,5259,Others,ELO,Gravel,RL,9064800
3918,VELACHERY,1893,3,2,5,Yes,17172,Others,NoSeWa,Paved,C,9995770
3919,CHROMPET,857,1,1,3,No,16708,House,ELO,Gravel,RH,7377300
3920,T NAGAR,1563,1,1,4,No,7212,Others,NoSeWa,No Access,RH,11277710
3921,VELACHERY,1634,2,1,4,No,11053,Others,AllPub,Paved,RH,9643920
3922,KK NAGAR,1483,2,1,4,No,12028,House,NoSeWa,Paved,RL,8756780
3923,T NAGAR,1902,2,1,5,Yes,10277,Commercial,AllPub,Gravel,RH,21789460
3924,T NAGAR,1638,1,1,4,Yes,16614,Others,AllPub,Gravel,RH,13906030
3925,ANNA NAGAR,1877,2,1,5,Yes,14995,Commercial,AllPub,Gravel,RL,21810920
3926,CHROMPET,751,1,1,2,Yes,11014,Others,ELO,No Access,RM,8484620
3927,KK NAGAR,1873,3,2,5,No,13773,Commercial,NoSeWa,Gravel,RL,15494260
3928,CHROMPET,1021,1,1,3,Yes,14645,House,AllPub,No Access,RH,8387750
3929,KARAPAKKAM,1448,2,2,4,Yes,12708,Commercial,NoSeWa,Gravel,RM,13435000
3930,KARAPAKKAM,720,1,1,2,No,18617,Others,NoSeWa,Gravel,RL,6352250
3931,ANNA NAGAR,1514,1,1,4,No,14300,Others,AllPub,Gravel,RL,12279230
3932,KK NAGAR,2347,4,2,6,No,14352,Others,NoSeWa,Gravel,RM,12885880
3933,KK NAGAR,1816,3,2,5,Yes,13955,House,NoSeWa,Paved,RM,10764320
3934,VELACHERY,1615,2,1,4,Yes,18925,Others,NoSeWa,Paved,A,8092310
3935,VELACHERY,1941,3,2,5,No,15147,Others,AllPub,Gravel,RH,11014650
3936,KK NAGAR,2227,4,2,6,Yes,7675,House,AllPub,Paved,RL,12334760
3937,CHROMPET,1119,1,1,3,Yes,13394,Commercial,ELO,No Access,RM,13267150
3938,CHROMPET,885,1,1,3,No,17403,Others,ELO,Paved,RM,8414700
3939,KARAPAKKAM,1417,2,2,4,Yes,17922,Commercial,NoSeWa,Paved,RL,12304750
3940,ADYAR,1278,2,2,4,Yes,18870,House,NoSeWa,No Access,RL,9448455
3941,CHROMPET,1050,1,1,3,Yes,11575,Others,NoSeWa,Gravel,RM,11284700
3942,T NAGAR,1706,1,1,4,Yes,19529,Others,NoSeWa,Paved,RH,13094870
3943,KARAPAKKAM,774,1,1,2,No,19330,Commercial,NoSeWa,Gravel,C,6353750
3944,ANNA NAGAR,1751,1,1,4,Yes,10191,House,ELO,Paved,RM,13331980
3945,KARAPAKKAM,729,1,1,2,Yes,13382,Others,NoSeWa,Gravel,I,6678875
3946,CHROMPET,1142,1,1,3,Yes,14714,House,AllPub,Paved,RM,10065600
3947,VELACHERY,1668,2,1,4,Yes,21252,House,NoSeWa,Paved,RH,9150510
3948,CHROMPET,857,1,1,3,No,6366,Commercial,AllPub,Gravel,RM,12232800
3949,VELACHERY,1774,2,1,4,No,13431,Commercial,ELO,Gravel,I,14103230
3950,CHROMPET,897,1,1,3,Yes,12542,Others,ELO,Gravel,RH,8957390
3951,T NAGAR,1838,2,1,5,No,10021,Commercial,NoSeWa,Paved,RL,20241530
3952,ADYAR,1000,1,1,3,Yes,10982,Others,ELO,Gravel,A,8080925
3953,KARAPAKKAM,1209,1,1,3,No,19271,Others,AllPub,No Access,RL,6567375
3954,CHROMPET,858,1,1,3,Yes,12130,Commercial,NoSeWa,No Access,RH,10335050
3955,ADYAR,767,1,1,2,Yes,6998,House,AllPub,No Access,RM,9045605
3956,T NAGAR,1624,1,1,4,Yes,19082,Others,AllPub,Paved,RL,13234330
3957,KARAPAKKAM,579,1,1,2,No,17111,Others,AllPub,Gravel,I,5032625
3958,ADYAR,881,1,1,3,Yes,9153,Commercial,AllPub,No Access,RM,12724510
3959,CHROMPET,722,1,1,2,Yes,15110,House,ELO,Paved,RH,6888450
3960,VELACHERY,1837,3,2,5,No,11485,Others,NoSeWa,Paved,RM,11411760
3961,CHROMPET,1296,2,1,4,No,16138,Others,AllPub,Paved,RL,9965620
3962,KARAPAKKAM,1624,2,2,4,No,15434,House,NoSeWa,Paved,RH,7651250
3963,ANNA NAGAR,1630,1,1,4,Yes,20089,Others,ELO,Gravel,RH,12938720
3964,CHROMPET,1257,2,1,4,No,13148,Others,NoSeWa,Gravel,RH,9946290
3965,CHROMPET,1163,1,1,3,No,16314,Commercial,AllPub,No Access,RH,12123250
3966,VELACHERY,1652,2,1,4,Yes,21144,Commercial,NoSeWa,No Access,C,12039380
3967,VELACHERY,1566,2,1,4,No,15067,House,ELO,Gravel,A,6776450
3968,VELACHERY,1669,2,1,4,No,23564,Others,NoSeWa,Paved,A,7193030
3969,KARAPAKKAM,1009,1,1,3,Yes,22164,House,NoSeWa,Gravel,A,5272250
3970,ADYAR,750,1,1,2,No,15330,Others,ELO,Paved,I,6252365
3971,KK NAGAR,2149,3,2,5,No,7573,House,NoSeWa,Paved,RM,11840340
3972,VELACHERY,1818,3,2,5,Yes,13249,Others,NoSeWa,Gravel,A,9890560
3973,KK NAGAR,1623,2,1,4,No,6471,Commercial,AllPub,Paved,RM,14485900
3974,ANNA NAGAR,1602,1,1,4,Yes,17517,House,ELO,Gravel,RL,12359320
3975,CHROMPET,1143,1,1,3,No,6522,Commercial,AllPub,Paved,RH,12716150
3976,ADYAR,865,1,1,3,No,17633,House,NoSeWa,Paved,A,4982055
3977,ANNA NAGAR,1880,2,1,5,No,12417,Commercial,NoSeWa,Paved,RL,20562600
3978,CHROMPET,721,1,1,2,No,15137,Others,AllPub,Gravel,RM,8732470
3979,T NAGAR,1510,1,1,4,No,10436,Others,ELO,No Access,RH,10754410
3980,ADYAR,1025,1,1,3,Yes,14569,Commercial,AllPub,Paved,RH,13168605
3981,KARAPAKKAM,762,1,1,2,Yes,22323,House,NoSeWa,Gravel,RM,7675750
3982,T NAGAR,1609,1,1,4,No,19972,Commercial,ELO,Paved,RL,17720900
3983,CHROMPET,869,1,1,3,Yes,8357,Commercial,ELO,Paved,RM,12454750
3984,ADYAR,1109,1,1,3,Yes,15561,Commercial,ELO,Gravel,C,12735905
3985,ADYAR,928,1,1,3,No,8487,House,AllPub,Gravel,C,6997335
3986,VELACHERY,1747,2,1,4,Yes,8764,Others,NoSeWa,Gravel,C,9983410
3987,T NAGAR,1526,1,1,4,No,7557,Commercial,ELO,Gravel,RM,18546530
3988,T NAGAR,1922,2,1,5,Yes,20402,House,AllPub,Paved,RH,13211540
3989,KK NAGAR,1366,2,1,4,No,15257,House,AllPub,Gravel,RM,9808360
3990,KARAPAKKAM,731,1,1,2,No,15913,House,ELO,Paved,A,3102500
3991,T NAGAR,1886,2,1,5,No,21109,House,NoSeWa,Gravel,RH,12040960
3992,VELACHERY,1754,2,1,4,Yes,19338,Others,NoSeWa,Gravel,RM,11963590
3993,ADYAR,1236,2,2,4,No,17170,Commercial,AllPub,Gravel,C,13478895
3994,CHROMPET,1291,2,1,4,Yes,14848,House,NoSeWa,Gravel,RL,10499650
3995,ANNA NAGAR,1744,1,1,4,No,20621,House,NoSeWa,No Access,RM,11667270
3996,ADYAR,933,1,1,3,No,9709,House,NoSeWa,Paved,RM,9022165
3997,CHROMPET,747,1,1,2,No,12913,House,NoSeWa,No Access,RL,6206700
3998,VELACHERY,1574,2,1,4,Yes,21172,House,NoSeWa,Paved,I,8287180
3999,CHROMPET,1290,2,1,4,No,7233,Commercial,ELO,Paved,RH,13442250
4000,VELACHERY,1574,2,1,4,No,23873,Commercial,AllPub,No Access,RM,13113330
4001,KARAPAKKAM,932,1,1,3,Yes,17070,Commercial,NoSeWa,Paved,RM,10095000
4002,KARAPAKKAM,1047,1,1,3,No,9210,Commercial,NoSeWa,Paved,I,8597500
4003,ANNA NAGAR,1957,2,1,5,No,11958,Others,ELO,Paved,RH,13371220
4004,KARAPAKKAM,1511,2,2,4,Yes,19160,House,AllPub,Gravel,RL,9268750
4005,KK NAGAR,1761,2,1,4,Yes,14607,Commercial,AllPub,Paved,RH,14397160
4006,KK NAGAR,2287,4,2,6,No,7185,House,NoSeWa,Paved,RM,12339780
4007,VELACHERY,1749,2,1,4,No,12245,Others,NoSeWa,Paved,RL,10236960
4008,KARAPAKKAM,1550,2,2,4,Yes,17502,House,NoSeWa,Paved,RH,8566750
4009,T NAGAR,1766,1,1,4,No,14469,Commercial,NoSeWa,Paved,RH,18658980
4010,ANNA NAGAR,1540,1,1,4,Yes,11532,Others,AllPub,Gravel,RH,13186470
4011,VELACHERY,1874,3,2,5,No,17701,House,AllPub,No Access,RL,9292000
4012,KARAPAKKAM,1454,2,2,4,No,5886,House,ELO,No Access,RL,7202750
4013,KK NAGAR,2461,4,2,6,No,6435,House,AllPub,Paved,RH,11338920
4014,VELACHERY,1528,2,1,4,Yes,14249,Commercial,NoSeWa,Paved,I,13642920
4015,ADYAR,823,1,1,3,No,6327,Others,ELO,Gravel,C,7174375
4016,KK NAGAR,1389,2,1,4,No,13377,Others,NoSeWa,Gravel,RM,9630040
4017,ADYAR,765,1,1,2,No,9583,House,ELO,Gravel,RL,8203665
4018,ADYAR,1244,2,2,4,Yes,6819,Others,ELO,No Access,C,8661320
4019,VELACHERY,1566,2,1,4,Yes,13004,Others,ELO,Gravel,RM,11548700
4020,ANNA NAGAR,1539,1,1,4,No,9289,House,NoSeWa,Paved,RL,11320960
4021,CHROMPET,1283,2,1,4,Yes,17395,Commercial,AllPub,Paved,RM,15503650
4022,CHROMPET,1132,1,1,3,Yes,16488,Commercial,NoSeWa,No Access,RM,13606450
4023,CHROMPET,948,1,1,3,No,6163,House,NoSeWa,No Access,RM,8423350
4024,KARAPAKKAM,589,1,1,2,Yes,21425,Others,NoSeWa,Paved,RL,6061625
4025,KARAPAKKAM,1025,1,1,3,No,9836,Commercial,AllPub,No Access,I,7688000
4026,CHROMPET,885,1,1,3,Yes,12564,Commercial,NoSeWa,No Access,RL,10958500
4027,KARAPAKKAM,758,1,1,2,No,15096,House,NoSeWa,Gravel,RL,6237500
4028,ADYAR,663,1,1,2,Yes,9957,House,NoSeWa,No Access,A,5426740
4029,VELACHERY,1530,2,1,4,Yes,12615,House,ELO,No Access,A,6752540
4030,VELACHERY,1948,3,2,5,No,19837,Others,AllPub,Paved,RH,10765530
4031,ADYAR,940,1,1,3,Yes,8423,House,AllPub,No Access,RL,8871195
4032,T NAGAR,1532,1,1,4,No,6584,House,ELO,Paved,RH,10802190
4033,VELACHERY,1894,3,2,5,Yes,22330,Others,AllPub,No Access,C,8917740
4034,KK NAGAR,1373,2,1,4,No,13431,Others,AllPub,Gravel,RH,8638540
4035,VELACHERY,1528,2,1,4,No,15185,House,AllPub,Gravel,I,7922150
4036,VELACHERY,1826,3,2,5,No,20844,Others,NoSeWa,Gravel,I,9711430
4037,KARAPAKKAM,1132,1,1,3,No,18562,House,ELO,No Access,RH,5330500
4038,T NAGAR,1955,2,1,5,Yes,8497,House,AllPub,No Access,RM,14862430
4039,KARAPAKKAM,1036,1,1,3,Yes,10372,House,NoSeWa,Gravel,RM,8901750
4040,T NAGAR,1504,1,1,4,Yes,6006,Commercial,AllPub,Gravel,RM,20362800
4041,ANNA NAGAR,1826,2,1,5,Yes,10143,Others,NoSeWa,Paved,RM,15779500
4042,KARAPAKKAM,1609,2,2,4,Yes,18318,Commercial,AllPub,No Access,I,11274750
4043,KARAPAKKAM,891,1,1,3,Yes,9422,Commercial,NoSeWa,Paved,C,7999750
4044,KARAPAKKAM,1665,2,2,4,No,8453,Others,NoSeWa,Gravel,C,7729125
4045,ANNA NAGAR,1965,2,1,5,Yes,17222,Others,AllPub,No Access,RL,14411150
4046,CHROMPET,1157,1,1,3,No,6319,Commercial,AllPub,No Access,RH,12632900
4047,KK NAGAR,2064,3,2,5,No,12221,Commercial,NoSeWa,Gravel,RL,16497820
4048,CHROMPET,1181,1,1,3,No,11671,Others,NoSeWa,Gravel,RL,9847570
4049,KK NAGAR,1653,2,1,4,Yes,12291,Others,NoSeWa,Paved,RL,10794060
4050,KK NAGAR,2282,4,2,6,No,14570,House,NoSeWa,Gravel,RM,12171140
4051,KARAPAKKAM,1531,2,2,4,No,17455,Commercial,ELO,Gravel,RH,11451250
4052,ANNA NAGAR,1629,1,1,4,No,6450,Commercial,ELO,Gravel,RM,19939120
4053,CHROMPET,1081,1,1,3,Yes,17932,Others,NoSeWa,Gravel,RH,9778420
4054,KARAPAKKAM,1041,1,1,3,Yes,7381,Commercial,NoSeWa,No Access,I,9045250
4055,CHROMPET,1175,1,1,3,Yes,15819,House,AllPub,Paved,RL,9758600
4056,CHROMPET,810,1,1,3,No,15175,Commercial,NoSeWa,Paved,RH,9879950
4057,KK NAGAR,1722,2,1,4,No,12093,House,AllPub,Paved,RM,9795980
4058,KARAPAKKAM,1475,2,2,4,No,11733,House,NoSeWa,Paved,RL,8296250
4059,ANNA NAGAR,1522,1,1,4,No,6660,House,AllPub,Paved,RL,11295000
4060,ANNA NAGAR,1556,1,1,4,No,13393,House,NoSeWa,No Access,RM,10797790
4061,CHROMPET,1286,2,1,4,Yes,8179,Commercial,ELO,No Access,RL,14962800
4062,VELACHERY,1803,3,2,5,Yes,9802,House,NoSeWa,Paved,RM,11546330
4063,CHROMPET,866,1,1,3,No,14834,Commercial,NoSeWa,No Access,RL,10173350
4064,ADYAR,1178,1,1,3,Yes,10842,House,ELO,Paved,C,8638785
4065,ANNA NAGAR,1626,1,1,4,No,8534,Others,NoSeWa,Paved,RL,12866410
4066,ANNA NAGAR,1589,1,1,4,Yes,8274,House,NoSeWa,No Access,RL,12025410
4067,CHROMPET,1165,1,1,3,No,15734,House,ELO,No Access,RL,7550250
4068,ADYAR,618,1,1,2,No,17481,Commercial,ELO,Paved,RH,8421940
4069,CHROMPET,1144,1,1,3,No,17731,Others,NoSeWa,Gravel,RL,9341380
4070,ADYAR,1201,2,2,4,No,18665,Commercial,NoSeWa,Paved,RM,14203140
4071,KARAPAKKAM,879,1,1,2,Yes,18059,House,AllPub,Paved,RH,6313250
4072,ANNA NAGAR,1501,1,1,4,Yes,17287,Others,ELO,Gravel,RM,13627030
4073,ADYAR,1289,2,2,4,Yes,11250,Commercial,AllPub,Gravel,RM,17360470
4074,KK NAGAR,1741,2,1,4,Yes,8660,Others,AllPub,Paved,RH,10458220
4075,KARAPAKKAM,1585,2,2,4,No,20765,Commercial,ELO,Paved,RM,11996750
4076,CHROMPET,897,1,1,3,Yes,8652,House,ELO,Gravel,RL,9162950
4077,CHROMPET,1172,1,1,3,Yes,13029,House,ELO,No Access,RM,9701600
4078,KARAPAKKAM,1321,1,1,3,Yes,11353,Others,AllPub,Paved,RH,8527375
4079,KARAPAKKAM,798,1,1,2,No,8977,Others,NoSeWa,No Access,I,4517000
4080,T NAGAR,1808,2,1,5,No,11850,Commercial,NoSeWa,No Access,RM,20487250
4081,CHROMPET,934,1,1,3,No,9628,Others,NoSeWa,Paved,RH,7774580
4082,CHROMPET,961,1,1,3,Yes,14783,Others,AllPub,No Access,RL,8637320
4083,ADYAR,962,1,1,3,No,9047,Others,ELO,Paved,A,6374265
4084,KK NAGAR,1778,3,2,5,No,7774,Others,AllPub,Paved,RL,10567300
4085,ANNA NAGAR,1756,1,1,4,Yes,9189,House,ELO,Paved,RH,12368790
4086,KARAPAKKAM,1023,1,1,3,No,6367,Others,NoSeWa,Paved,A,4798625
4087,ADYAR,784,1,1,2,No,15938,House,ELO,No Access,RL,6611365
4088,KK NAGAR,1485,2,1,4,No,8820,House,AllPub,Paved,RH,8195220
4089,KK NAGAR,2177,3,2,5,Yes,8434,Others,AllPub,Gravel,RL,13553180
4090,KK NAGAR,2088,3,2,5,Yes,10880,Others,NoSeWa,Paved,RM,12879720
4091,ADYAR,1181,1,1,3,Yes,13013,Others,ELO,No Access,I,8418360
4092,KK NAGAR,1308,1,1,3,No,7831,House,AllPub,Gravel,RM,9168580
4093,KARAPAKKAM,663,1,1,2,No,11665,House,ELO,No Access,I,3815750
4094,T NAGAR,1975,2,1,5,Yes,6388,House,NoSeWa,No Access,RH,13567150
4095,CHROMPET,749,1,1,2,No,13013,Commercial,ELO,Gravel,RH,9607900
4096,VELACHERY,1727,2,1,4,Yes,16761,House,ELO,Gravel,A,8269610
4097,KK NAGAR,2158,3,2,5,Yes,10848,Others,NoSeWa,Paved,RM,13154100
4098,CHROMPET,1157,1,1,3,No,7403,House,NoSeWa,Gravel,RL,9455100
4099,T NAGAR,1832,2,1,5,No,13040,Commercial,NoSeWa,Gravel,RM,21686920
4100,CHROMPET,1138,1,1,3,Yes,11228,Commercial,NoSeWa,Gravel,RH,13801050
4101,CHROMPET,770,1,1,2,No,5923,House,AllPub,No Access,RH,6348750
4102,T NAGAR,1842,2,1,5,No,13363,House,NoSeWa,Gravel,RL,13040160
4103,T NAGAR,1882,2,1,5,Yes,20252,Commercial,ELO,No Access,RH,19761890
4104,CHROMPET,757,1,1,2,Yes,10380,Others,ELO,No Access,RM,8854790
4105,VELACHERY,1884,3,2,5,Yes,18168,House,ELO,Paved,RH,9955440
4106,KK NAGAR,1729,2,1,4,Yes,6474,Others,NoSeWa,Paved,RH,10643500
4107,ADYAR,866,1,1,3,Yes,15401,Others,ELO,Paved,A,6666735
4108,KARAPAKKAM,919,1,1,3,Yes,10413,Commercial,AllPub,Gravel,RL,10589000
4109,KK NAGAR,1587,2,1,4,No,6448,House,NoSeWa,Paved,RL,8983700
4110,CHROMPET,1282,2,1,4,Yes,9037,Others,NoSeWa,Gravel,RH,11073340
4111,CHROMPET,928,1,1,3,No,18229,Others,ELO,Paved,RM,8454860
4112,CHROMPET,898,1,1,3,No,15923,House,ELO,Paved,RH,6802150
4113,ADYAR,692,1,1,2,Yes,13121,Commercial,NoSeWa,No Access,A,7814575
4114,T NAGAR,1972,2,1,5,Yes,18119,Others,ELO,Paved,RH,13941590
4115,KK NAGAR,2079,3,2,5,No,7664,Others,NoSeWa,Paved,RH,10468580
4116,KK NAGAR,1486,2,1,4,No,8454,Commercial,NoSeWa,Paved,RL,12616820
4117,ANNA NAGAR,1742,1,1,4,Yes,20311,Commercial,NoSeWa,Paved,RM,20982920
4118,T NAGAR,1936,2,1,5,Yes,12233,House,NoSeWa,Paved,RL,13788080
4119,KARAPAKKAM,1214,1,1,3,No,21802,Commercial,NoSeWa,No Access,RM,9985750
4120,KARAPAKKAM,1257,1,1,3,Yes,16435,House,ELO,No Access,RH,6660000
4121,KARAPAKKAM,841,1,1,2,Yes,11690,House,AllPub,No Access,I,5355750
4122,KK NAGAR,2255,4,2,6,No,9825,Commercial,AllPub,Paved,RH,16982280
4123,VELACHERY,1605,2,1,4,Yes,18585,Commercial,NoSeWa,Paved,RH,13759280
4124,CHROMPET,1188,1,1,3,No,8159,Commercial,NoSeWa,Paved,RH,12840300
4125,CHROMPET,1213,2,1,4,Yes,6123,Others,NoSeWa,No Access,RL,10243060
4126,CHROMPET,731,1,1,2,Yes,18579,Commercial,NoSeWa,Paved,RM,11029700
